00A YYYY.dec             Lat            Lon        Depth     cumD(cm)                 EVID                       CSID                   Mag        D(cm)
2019.8450440131912      36.97564     -121.63007    4.158      4.62541             73300955       SJBPK0_freq8-24Hz_maxdist3_coh9600   1.13      4.62541
2019.8450463280060      36.97564     -121.63007    4.158      9.27805             73300960       SJBPK0_freq8-24Hz_maxdist3_coh9600   1.14      4.65265
2004.5218631729408      36.88155     -121.45863    8.909      4.90512             21376944    SJBPK1000_freq8-24Hz_maxdist3_coh9600   1.23      4.90512
2005.7141507483511      36.88155     -121.45863    8.909      9.78153             30229491    SJBPK1000_freq8-24Hz_maxdist3_coh9600   1.22      4.87641
2004.5206080816131      36.96720     -121.60370    5.387      6.31393             21376799    SJBPK1001_freq8-24Hz_maxdist3_coh9600   1.66      6.31393
2012.1492530294981      36.96720     -121.60370    5.387     11.51569             71741221    SJBPK1001_freq8-24Hz_maxdist3_coh9600   1.33      5.20176
2004.5151442015786      35.97879     -120.47650    9.001      5.08101             21376339    SJBPK1002_freq8-24Hz_maxdist3_coh9600   1.29      5.08101
2004.5151575149262      35.97879     -120.47650    9.001     10.16202             21376341    SJBPK1002_freq8-24Hz_maxdist3_coh9600   1.29      5.08101
2004.4969057060819      36.27061     -120.84695    5.211      6.16737             21374459    SJBPK1003_freq8-24Hz_maxdist3_coh9600   1.62      6.16737
2008.1470066155637      36.27061     -120.84695    5.211     12.40759             51196992    SJBPK1003_freq8-24Hz_maxdist3_coh9600   1.64      6.24022
2011.1780020928463      36.27061     -120.84695    5.211     18.50296             71538826    SJBPK1003_freq8-24Hz_maxdist3_coh9600   1.60      6.09537
2014.5078216958398      36.27061     -120.84695    5.211     24.28459             72249316    SJBPK1003_freq8-24Hz_maxdist3_coh9600   1.51      5.78163
1998.7721564561136      36.96334     -121.59037    5.911      5.02169             30201247    SJBPK1004_freq8-24Hz_maxdist3_coh9600   1.27      5.02169
2004.4903721728901      36.96334     -121.59037    5.911     10.28489             21373474    SJBPK1004_freq8-24Hz_maxdist3_coh9600   1.35      5.26320
2013.9503781392693      36.96334     -121.59037    5.911     14.64654             72120305    SJBPK1004_freq8-24Hz_maxdist3_coh9600   1.03      4.36164
2004.4847131147542      36.03628     -120.62095    0.343      4.54465             21373030    SJBPK1005_freq8-24Hz_maxdist3_coh9600   1.10      4.54465
2004.4847131147542      36.03628     -120.62095    0.343      9.08929             21478458    SJBPK1005_freq8-24Hz_maxdist3_coh9600   1.10      4.54465
2006.1156594685440      36.03628     -120.62095    0.343     13.66070             21505901    SJBPK1005_freq8-24Hz_maxdist3_coh9600   1.11      4.57141
2004.4601423990589      36.59385     -121.19478    5.961      4.87641             21371218    SJBPK1006_freq8-24Hz_maxdist3_coh9600   1.22      4.87641
2004.4602324301761      36.59385     -121.19478    5.961      9.34170             21371222    SJBPK1006_freq8-24Hz_maxdist3_coh9600   1.07      4.46529
2007.2077585299342      36.59385     -121.19478    5.961     13.94003             40194693    SJBPK1006_freq8-24Hz_maxdist3_coh9600   1.12      4.59833
2004.4425905370877      36.76485     -121.40650    8.952      4.36164             21370116    SJBPK1007_freq8-24Hz_maxdist3_coh9600   1.03      4.36164
2004.4429800394657      36.76485     -121.40650    8.952      9.23805             21370130    SJBPK1007_freq8-24Hz_maxdist3_coh9600   1.22      4.87641
1993.8554679096906      36.66534     -121.29026    2.547      5.32537             30034406    SJBPK1008_freq8-24Hz_maxdist3_coh9600   1.37      5.32537
2004.4406466934831      36.66534     -121.29026    2.547     10.00542             21369998    SJBPK1008_freq8-24Hz_maxdist3_coh9600   1.15      4.68004
2004.4386205348108      35.93516     -120.48371    4.949      4.62541             21369836    SJBPK1009_freq8-24Hz_maxdist3_coh9600   1.13      4.62541
